close,high,low,open,symbol,volume,id,key,subkey,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
729.77,744.4899,717.1895,719.46,TSLA,48638189,HISTORICAL_PRICES,TSLA,,2021-01-04,1609812025000,0,0,719.46,729.77,744.4899,717.1895,48638189,719.46,729.77,744.4899,717.1895,48638189,"Jan 4, 21",0,0
735.11,740.84,719.2,723.66,TSLA,32245165,HISTORICAL_PRICES,TSLA,,2021-01-05,1609897701000,0.007317373967140376,0.007317373967140376,723.66,735.11,740.84,719.2,32245165,723.66,735.11,740.84,719.2,32245165,"Jan 5, 21",5.340000000000032,0.0073
755.98,774,749.1,758.49,TSLA,44699965,HISTORICAL_PRICES,TSLA,,2021-01-06,1609984826000,0.03591542540800531,0.03591542540800531,758.49,755.98,774,749.1,44699965,758.49,755.98,774,749.1,44699965,"Jan 6, 21",20.870000000000005,0.0284
816.04,816.99,775.2,777.63,TSLA,51498948,HISTORICAL_PRICES,TSLA,,2021-01-07,1610072186000,0.11821532811707797,0.11821532811707797,777.63,816.04,816.99,775.2,51498948,777.63,816.04,816.99,775.2,51498948,"Jan 7, 21",60.059999999999945,0.0794
880.02,884.49,838.39,856,TSLA,75055528,HISTORICAL_PRICES,TSLA,,2021-01-08,1610158587000,0.2058867862477219,0.2058867862477219,856,880.02,884.49,838.39,75055528,856,880.02,884.49,838.39,75055528,"Jan 8, 21",63.98000000000002,0.0784
811.19,854.43,803.6222,849.4,TSLA,59554146,HISTORICAL_PRICES,TSLA,,2021-01-11,1610416109000,0.11156939857763415,0.11156939857763415,849.4,811.19,854.43,803.6222,59554146,849.4,811.19,854.43,803.6222,59554146,"Jan 11, 21",-68.82999999999993,-0.0782
849.44,868,827.34,831,TSLA,46270720,HISTORICAL_PRICES,TSLA,,2021-01-12,1610517807000,0.16398317278046518,0.16398317278046518,831,849.44,868,827.34,46270720,831,849.44,868,827.34,46270720,"Jan 12, 21",38.25,0.0472
854.41,860.47,832,852.76,TSLA,33312496,HISTORICAL_PRICES,TSLA,,2021-01-13,1610589624000,0.1707935376899571,0.1707935376899571,852.76,854.41,860.47,832,33312496,852.76,854.41,860.47,832,33312496,"Jan 13, 21",4.969999999999914,0.0059
845,863,838.75,843.39,TSLA,31266327,HISTORICAL_PRICES,TSLA,,2021-01-14,1610676028000,0.1578990640886855,0.1578990640886855,843.39,845,863,838.75,31266327,843.39,845,863,838.75,31266327,"Jan 14, 21",-9.409999999999968,-0.011
826.16,859.9,819.1,852,TSLA,38777596,HISTORICAL_PRICES,TSLA,,2021-01-15,1610763383000,0.13208271099113417,0.13208271099113417,852,826.16,859.9,819.1,38777596,852,826.16,859.9,819.1,38777596,"Jan 15, 21",-18.840000000000032,-0.0223
